95668,56208
74203,52621
33335,95252
26047,79799
37435,88005
93836,61887
95821,48454
40154,62543
73255,68631
79056,76702
34466,70838
46550,18680
55754,51787
48228,37646
29306,85603
75105,37768
21612,90135
74470,35469
49622,21245
49193,18699
61415,21078
95775,10873
60483,91781
42667,56840
12954,81094
61434,71762
22232,64670
77827,33536
75889,24607
78341,37829
82413,36203
95700,31747
79056,22170
89045,28403
37081,82265
74405,10713
43205,76191
87526,99737
72550,75120
40971,82607
47693,81396
39908,11533
40655,21138
42427,97567
89506,11179
50064,19548
93836,43080
37743,90155
58398,21664
89990,90621
94519,52392
62358,82246
73475,14857
69951,56878
56211,48921
83117,49545
12955,84329
48442,71390
28450,27461
86731,94969
14652,32344
37435,89304
61730,61343
85797,38097
31806,21480
58398,79330
73475,29803
58398,83903
37081,82961
16800,19048
45021,46338
97811,65120
18471,94574
37435,43129
20553,80135
30053,13860
37081,23228
99812,75373
43358,72438
81330,62029
11995,46550
92694,86921
20959,34790
85030,98862
53872,82648
43559,23156
43025,86507
78226,78535
58158,86410
18312,23699
25346,43083
11280,69925
82246,93761
38097,31314
47098,31775
24867,50720
66769,59647
17550,95275
82744,12756
99949,93464
55400,50801
60335,12063
12955,10930
63957,96820
40727,51672
40727,35874
79584,23608
80438,94056
50916,46387
37081,34304
93836,83311
43512,25295
63763,17263
30357,70673
11280,68716
27269,52238
49467,99670
93196,50516
78719,84006
33177,61795
87640,43228
99949,77557
64716,98130
61786,96939
79056,95849
89990,16209
44437,65420
11280,94486
99949,66223
86363,43524
61786,62859
84321,90225
98335,88954
17907,75285
73475,38457
24650,42857
32077,10995
57464,91376
90595,77255
86284,89361
46550,59270
57794,71756
17022,87966
55419,58398
37435,96091
87526,17150
12196,39389
67087,76990
34998,61924
73475,95291
84321,50147
84401,53391
93836,36506
27344,52291
50538,12731
89078,60534
10368,79539
99949,56787
40727,54143
75373,98095
52795,30744
38097,12926
50801,51613
65515,36198
27065,28401
78440,56046
71912,70329
36977,95114
47082,60740
11280,56549
26874,57725
89045,56639
29741,79567
76570,94022
90832,96358
95795,12302
82246,76023
97271,15612
90595,17185
45432,46709
46550,13154
43458,88519
90478,32560
71620,65035
61237,92462
79584,69416
21793,35688
39240,28438
27813,82325
84321,78531
36148,24899
89990,85012
67634,23508
60161,66264
38477,66503
91668,15986
63922,79146
85030,37435
85977,62752
81606,26512
82246,40841
73475,46251
19249,34026
41947,50440
11280,76774
60880,22007
87526,94909
84321,58404
18175,75320
89990,76222
15431,91724
37574,48733
12879,36629
21379,58515
45395,12471
79056,37709
47109,14932
80670,98634
38097,97279
84321,96785
89556,12591
61786,36934
32076,41593
